starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 16 12:30:40 2018	1523903440	0	35	35	35
Mon Apr 16 12:30:39 2018	1523903439	0	35	35	35
Mon Apr 16 12:30:39 2018	1523903439	0	35	35	35
Mon Apr 16 12:30:38 2018	1523903438	0	35	35	35
Mon Apr 16 12:30:39 2018	1523903439	0	35	35	34
Mon Apr 16 12:30:38 2018	1523903438	1	34	35	34
Mon Apr 16 12:30:37 2018	1523903437	0	35	35	35
Mon Apr 16 12:30:37 2018	1523903437	0	35	35	35
Mon Apr 16 12:30:39 2018	1523903439	1	34	35	34
Mon Apr 16 12:30:40 2018	1523903440	0	35	35	35
Mon Apr 16 12:30:39 2018	1523903439	0	35	35	35
Mon Apr 16 12:30:38 2018	1523903438	0	35	35	35
Mon Apr 16 12:30:39 2018	1523903439	0	35	35	35
Mon Apr 16 12:30:39 2018	1523903439	0	35	35	35
Mon Apr 16 12:30:40 2018	1523903440	0	35	35	35
Mon Apr 16 12:30:37 2018	1523903437	1	34	35	34
Mon Apr 16 12:30:40 2018	1523903440	0	35	35	35
Mon Apr 16 12:30:37 2018	1523903437	0	35	35	35
Mon Apr 16 12:30:39 2018	1523903439	0	36	36	36
Mon Apr 16 12:30:38 2018	1523903438	1	35	36	35
Mon Apr 16 12:30:40 2018	1523903440	1	35	36	35
Mon Apr 16 12:30:38 2018	1523903438	0	36	36	36
Mon Apr 16 12:30:39 2018	1523903439	1	35	36	35
Mon Apr 16 12:30:38 2018	1523903438	0	36	36	36
Mon Apr 16 12:30:39 2018	1523903439	0	36	36	35
Mon Apr 16 12:30:40 2018	1523903440	1	35	36	35
Mon Apr 16 12:30:38 2018	1523903438	1	35	36	35
Mon Apr 16 12:30:39 2018	1523903439	0	36	36	36
Mon Apr 16 12:30:38 2018	1523903438	0	36	36	36
Mon Apr 16 12:30:39 2018	1523903439	0	36	36	36
Mon Apr 16 12:30:38 2018	1523903438	0	36	36	36
Mon Apr 16 12:30:40 2018	1523903440	0	36	36	36
Mon Apr 16 12:30:38 2018	1523903438	0	36	36	35
Mon Apr 16 12:30:39 2018	1523903439	1	35	36	35
Mon Apr 16 12:30:37 2018	1523903437	0	36	36	36
Mon Apr 16 12:30:37 2018	1523903437	0	37	37	37
Mon Apr 16 12:30:38 2018	1523903438	0	37	37	37
Mon Apr 16 12:30:37 2018	1523903437	0	37	37	37
Mon Apr 16 12:30:40 2018	1523903440	0	37	37	37
Mon Apr 16 12:30:38 2018	1523903438	0	37	37	37
Mon Apr 16 12:30:40 2018	1523903440	0	37	37	37
Mon Apr 16 12:30:39 2018	1523903439	0	37	37	37
Mon Apr 16 12:30:37 2018	1523903437	0	37	37	37
Mon Apr 16 12:30:40 2018	1523903440	0	37	37	37
Mon Apr 16 12:30:39 2018	1523903439	0	37	37	37
Mon Apr 16 12:30:37 2018	1523903437	0	37	37	37
Mon Apr 16 12:30:38 2018	1523903438	1	36	37	36
Mon Apr 16 12:30:38 2018	1523903438	0	37	37	37
Mon Apr 16 12:30:38 2018	1523903438	0	37	37	37
Mon Apr 16 12:30:39 2018	1523903439	0	37	37	37
Mon Apr 16 12:30:39 2018	1523903439	0	37	37	37
Mon Apr 16 12:30:39 2018	1523903439	0	37	37	37
Mon Apr 16 12:30:39 2018	1523903439	0	37	37	37
Mon Apr 16 12:30:40 2018	1523903440	0	37	37	37
Mon Apr 16 12:30:37 2018	1523903437	0	38	38	38
Mon Apr 16 12:30:38 2018	1523903438	1	37	38	37
Mon Apr 16 12:30:39 2018	1523903439	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	1	37	38	37
Mon Apr 16 12:30:39 2018	1523903439	1	37	38	37
Mon Apr 16 12:30:37 2018	1523903437	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	0	38	38	38
Mon Apr 16 12:30:39 2018	1523903439	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	1	37	38	37
Mon Apr 16 12:30:37 2018	1523903437	0	38	38	38
Mon Apr 16 12:30:37 2018	1523903437	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	0	38	38	38
Mon Apr 16 12:30:38 2018	1523903438	0	38	38	38
Mon Apr 16 12:30:39 2018	1523903439	0	38	38	38
Mon Apr 16 12:30:38 2018	1523903438	0	38	38	38
Mon Apr 16 12:30:37 2018	1523903437	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	0	38	38	38
Mon Apr 16 12:30:40 2018	1523903440	1	37	38	37
Mon Apr 16 12:30:38 2018	1523903438	0	39	39	39
Mon Apr 16 12:30:38 2018	1523903438	1	38	39	38
Mon Apr 16 12:30:39 2018	1523903439	0	39	39	39
Mon Apr 16 12:30:38 2018	1523903438	0	39	39	39
Mon Apr 16 12:30:36 2018	1523903436	1	38	39	38
Mon Apr 16 12:30:38 2018	1523903438	0	39	39	38
Mon Apr 16 12:30:39 2018	1523903439	0	39	39	39
Mon Apr 16 12:30:39 2018	1523903439	0	39	39	38
Mon Apr 16 12:30:39 2018	1523903439	0	39	39	39
Mon Apr 16 12:30:38 2018	1523903438	1	38	39	38
Mon Apr 16 12:30:38 2018	1523903438	0	39	39	39
Mon Apr 16 12:30:37 2018	1523903437	0	40	40	40
Mon Apr 16 12:30:40 2018	1523903440	0	40	40	40
Mon Apr 16 12:30:38 2018	1523903438	0	40	40	40
Mon Apr 16 12:30:39 2018	1523903439	0	40	40	40
Mon Apr 16 12:30:37 2018	1523903437	0	40	40	40
Mon Apr 16 12:30:38 2018	1523903438	0	40	40	40
Mon Apr 16 12:30:38 2018	1523903438	1	39	40	39
Mon Apr 16 12:30:40 2018	1523903440	0	40	40	40
Mon Apr 16 12:30:38 2018	1523903438	1	39	40	39
Mon Apr 16 12:30:38 2018	1523903438	1	39	40	39
Mon Apr 16 12:30:39 2018	1523903439	1	39	40	39
Mon Apr 16 12:30:37 2018	1523903437	0	40	40	40
Mon Apr 16 12:30:39 2018	1523903439	0	40	40	40
Mon Apr 16 12:30:39 2018	1523903439	0	40	40	40
Mon Apr 16 12:30:37 2018	1523903437	0	40	40	40
Mon Apr 16 12:30:39 2018	1523903439	0	40	40	40
Mon Apr 16 12:30:38 2018	1523903438	0	40	40	40
Mon Apr 16 12:30:39 2018	1523903439	0	40	40	40
Mon Apr 16 12:30:39 2018	1523903439	0	40	40	40
Mon Apr 16 12:30:38 2018	1523903438	0	40	40	40
Mon Apr 16 12:30:38 2018	1523903438	0	40	40	40
Mon Apr 16 12:30:38 2018	1523903438	0	40	40	40
Mon Apr 16 12:30:37 2018	1523903437	0	40	40	40
Mon Apr 16 12:30:37 2018	1523903437	0	41	41	41
Mon Apr 16 12:30:39 2018	1523903439	1	40	41	40
Mon Apr 16 12:30:39 2018	1523903439	1	40	41	40
Mon Apr 16 12:30:39 2018	1523903439	0	41	41	41
Mon Apr 16 12:30:37 2018	1523903437	1	40	41	40
Mon Apr 16 12:30:39 2018	1523903439	0	41	41	40
Mon Apr 16 12:30:39 2018	1523903439	0	41	41	41
Mon Apr 16 12:30:39 2018	1523903439	0	41	41	41
Mon Apr 16 12:30:39 2018	1523903439	0	41	41	41
Mon Apr 16 12:30:40 2018	1523903440	0	41	41	41
Mon Apr 16 12:30:38 2018	1523903438	0	41	41	41
Mon Apr 16 12:30:37 2018	1523903437	0	41	41	41
Mon Apr 16 12:30:37 2018	1523903437	1	40	41	40
Mon Apr 16 12:30:37 2018	1523903437	0	42	42	42
Mon Apr 16 12:30:37 2018	1523903437	0	42	42	42
Mon Apr 16 12:30:40 2018	1523903440	1	41	42	41
Mon Apr 16 12:30:38 2018	1523903438	0	42	42	42
Mon Apr 16 12:30:39 2018	1523903439	0	42	42	42
Mon Apr 16 12:30:39 2018	1523903439	0	42	42	42
Mon Apr 16 12:30:39 2018	1523903439	1	41	42	41
Mon Apr 16 12:30:38 2018	1523903438	1	41	42	41
Mon Apr 16 12:30:38 2018	1523903438	0	42	42	42
Mon Apr 16 12:30:40 2018	1523903440	0	42	42	42
Mon Apr 16 12:30:38 2018	1523903438	0	42	42	42
Mon Apr 16 12:30:40 2018	1523903440	0	42	42	42
Mon Apr 16 12:30:40 2018	1523903440	0	42	42	42
Mon Apr 16 12:30:37 2018	1523903437	0	42	42	42
Mon Apr 16 12:30:40 2018	1523903440	0	43	43	43
Mon Apr 16 12:30:37 2018	1523903437	0	43	43	43
Mon Apr 16 12:30:37 2018	1523903437	1	42	43	42
Mon Apr 16 12:30:40 2018	1523903440	1	42	43	42
Mon Apr 16 12:30:39 2018	1523903439	0	43	43	43
Mon Apr 16 12:30:39 2018	1523903439	1	42	43	42
Mon Apr 16 12:30:38 2018	1523903438	1	42	43	42
Mon Apr 16 12:30:37 2018	1523903437	1	42	43	42
Mon Apr 16 12:30:39 2018	1523903439	0	43	43	43
Mon Apr 16 12:30:38 2018	1523903438	0	43	43	43
Mon Apr 16 12:30:40 2018	1523903440	0	43	43	43
Mon Apr 16 12:30:37 2018	1523903437	0	43	43	43
Mon Apr 16 12:30:40 2018	1523903440	0	43	43	43
Mon Apr 16 12:30:39 2018	1523903439	0	43	43	43
Mon Apr 16 12:30:38 2018	1523903438	0	43	43	43
Mon Apr 16 12:30:40 2018	1523903440	0	43	43	43
Mon Apr 16 12:30:37 2018	1523903437	0	43	43	43
Mon Apr 16 12:30:37 2018	1523903437	1	43	44	43
Mon Apr 16 12:30:40 2018	1523903440	0	44	44	44
Mon Apr 16 12:30:39 2018	1523903439	0	44	44	44
Mon Apr 16 12:30:39 2018	1523903439	0	44	44	44
Mon Apr 16 12:30:38 2018	1523903438	0	44	44	44
Mon Apr 16 12:30:40 2018	1523903440	0	44	44	44
Mon Apr 16 12:30:40 2018	1523903440	0	44	44	44
Mon Apr 16 12:30:38 2018	1523903438	0	44	44	44
Mon Apr 16 12:30:39 2018	1523903439	0	44	44	44
Mon Apr 16 12:30:38 2018	1523903438	0	44	44	44
Mon Apr 16 12:30:36 2018	1523903436	0	44	44	44
Mon Apr 16 12:30:40 2018	1523903440	0	44	44	44
Mon Apr 16 12:30:40 2018	1523903440	0	44	44	44
Mon Apr 16 12:30:37 2018	1523903437	0	45	45	45
Mon Apr 16 12:30:39 2018	1523903439	0	45	45	45
Mon Apr 16 12:30:37 2018	1523903437	0	45	45	43
Mon Apr 16 12:30:38 2018	1523903438	0	45	45	45
Mon Apr 16 12:30:39 2018	1523903439	1	44	45	44
Mon Apr 16 12:30:39 2018	1523903439	0	45	45	45
Mon Apr 16 12:30:39 2018	1523903439	0	45	45	45
Mon Apr 16 12:30:39 2018	1523903439	1	44	45	44
Mon Apr 16 12:30:40 2018	1523903440	0	45	45	45
Mon Apr 16 12:30:37 2018	1523903437	0	45	45	45
Mon Apr 16 12:30:38 2018	1523903438	0	46	46	46
Mon Apr 16 12:30:38 2018	1523903438	0	46	46	46
Mon Apr 16 12:30:40 2018	1523903440	1	45	46	45
Mon Apr 16 12:30:40 2018	1523903440	0	46	46	46
Mon Apr 16 12:30:40 2018	1523903440	0	46	46	46
Mon Apr 16 12:30:37 2018	1523903437	1	45	46	45
Mon Apr 16 12:30:40 2018	1523903440	1	45	46	45
Mon Apr 16 12:30:38 2018	1523903438	0	46	46	46
Mon Apr 16 12:30:39 2018	1523903439	0	46	46	46
Mon Apr 16 12:30:39 2018	1523903439	0	46	46	46
Mon Apr 16 12:30:38 2018	1523903438	0	46	46	46
Mon Apr 16 12:30:38 2018	1523903438	0	46	46	46
Mon Apr 16 12:30:38 2018	1523903438	0	46	46	46
Mon Apr 16 12:30:39 2018	1523903439	0	46	46	46
Mon Apr 16 12:30:39 2018	1523903439	0	46	46	45
Mon Apr 16 12:30:40 2018	1523903440	0	46	46	46
Mon Apr 16 12:30:39 2018	1523903439	0	46	46	46
Mon Apr 16 12:30:37 2018	1523903437	1	46	47	46
Mon Apr 16 12:30:39 2018	1523903439	1	46	47	46
Mon Apr 16 12:30:40 2018	1523903440	0	47	47	47
Mon Apr 16 12:30:40 2018	1523903440	0	47	47	47
Mon Apr 16 12:30:39 2018	1523903439	0	47	47	47
Mon Apr 16 12:30:39 2018	1523903439	0	47	47	47
Mon Apr 16 12:30:38 2018	1523903438	0	47	47	47
Mon Apr 16 12:30:38 2018	1523903438	0	47	47	47
Mon Apr 16 12:30:40 2018	1523903440	0	47	47	47
Mon Apr 16 12:30:38 2018	1523903438	0	47	47	47
Mon Apr 16 12:30:39 2018	1523903439	0	47	47	47
Mon Apr 16 12:30:39 2018	1523903439	1	46	47	46
Mon Apr 16 12:30:38 2018	1523903438	1	46	47	46
Mon Apr 16 12:30:38 2018	1523903438	0	47	47	47
Mon Apr 16 12:30:37 2018	1523903437	0	47	47	47
Mon Apr 16 12:30:38 2018	1523903438	0	47	47	47
Mon Apr 16 12:30:38 2018	1523903438	0	47	47	47
Mon Apr 16 12:30:37 2018	1523903437	1	46	47	46
Mon Apr 16 12:30:38 2018	1523903438	0	48	48	48
Mon Apr 16 12:30:40 2018	1523903440	0	48	48	48
Mon Apr 16 12:30:40 2018	1523903440	0	48	48	48
Mon Apr 16 12:30:40 2018	1523903440	0	48	48	48
Mon Apr 16 12:30:38 2018	1523903438	0	48	48	48
Mon Apr 16 12:30:39 2018	1523903439	0	48	48	48
Mon Apr 16 12:30:40 2018	1523903440	0	48	48	48
Mon Apr 16 12:30:37 2018	1523903437	1	47	48	46
Mon Apr 16 12:30:39 2018	1523903439	0	49	49	49
Mon Apr 16 12:30:38 2018	1523903438	1	48	49	48
Mon Apr 16 12:30:39 2018	1523903439	0	49	49	49
Mon Apr 16 12:30:40 2018	1523903440	0	49	49	49
Mon Apr 16 12:30:40 2018	1523903440	0	49	49	49
Mon Apr 16 12:30:38 2018	1523903438	0	49	49	49
Mon Apr 16 12:30:38 2018	1523903438	0	49	49	49
Mon Apr 16 12:30:40 2018	1523903440	0	49	49	48
Mon Apr 16 12:30:40 2018	1523903440	0	49	49	49
Mon Apr 16 12:30:37 2018	1523903437	1	49	50	49
Mon Apr 16 12:30:39 2018	1523903439	0	50	50	50
Mon Apr 16 12:30:39 2018	1523903439	0	50	50	50
Mon Apr 16 12:30:39 2018	1523903439	0	50	50	50
Mon Apr 16 12:30:40 2018	1523903440	0	50	50	50
Mon Apr 16 12:30:38 2018	1523903438	0	50	50	50
Mon Apr 16 12:30:40 2018	1523903440	0	50	50	50
Mon Apr 16 12:30:40 2018	1523903440	0	50	50	50
Mon Apr 16 12:30:39 2018	1523903439	1	49	50	49
Mon Apr 16 12:30:37 2018	1523903437	0	50	50	50
Mon Apr 16 12:30:37 2018	1523903437	1	50	50	50
Mon Apr 16 12:30:40 2018	1523903440	1	50	51	50
Mon Apr 16 12:30:39 2018	1523903439	1	50	51	50
Mon Apr 16 12:30:37 2018	1523903437	0	51	51	51
Mon Apr 16 12:30:39 2018	1523903439	0	51	51	51
Mon Apr 16 12:30:39 2018	1523903439	0	51	51	50
Mon Apr 16 12:30:40 2018	1523903440	1	50	51	50
Mon Apr 16 12:30:38 2018	1523903438	0	51	51	51
Mon Apr 16 12:30:39 2018	1523903439	1	50	51	50
Mon Apr 16 12:30:38 2018	1523903438	1	50	51	50
Mon Apr 16 12:30:40 2018	1523903440	0	51	51	51
Mon Apr 16 12:30:39 2018	1523903439	1	51	52	51
Mon Apr 16 12:30:40 2018	1523903440	0	52	52	52
Mon Apr 16 12:30:38 2018	1523903438	0	52	52	52
Mon Apr 16 12:30:38 2018	1523903438	0	52	52	52
Mon Apr 16 12:30:37 2018	1523903437	0	52	52	52
Mon Apr 16 12:30:38 2018	1523903438	1	51	52	51
Mon Apr 16 12:30:39 2018	1523903439	0	52	52	52
Mon Apr 16 12:30:39 2018	1523903439	0	52	52	52
Mon Apr 16 12:30:38 2018	1523903438	0	52	52	52
Mon Apr 16 12:30:38 2018	1523903438	0	52	52	52
Mon Apr 16 12:30:40 2018	1523903440	1	52	53	51
Mon Apr 16 12:30:36 2018	1523903436	0	53	53	53
Mon Apr 16 12:30:39 2018	1523903439	0	53	53	53
Mon Apr 16 12:30:40 2018	1523903440	0	53	53	53
Mon Apr 16 12:30:37 2018	1523903437	1	52	53	52
Mon Apr 16 12:30:40 2018	1523903440	0	53	53	53
Mon Apr 16 12:30:38 2018	1523903438	0	53	53	53
Mon Apr 16 12:30:37 2018	1523903437	1	53	54	53
Mon Apr 16 12:30:38 2018	1523903438	0	54	54	54
Mon Apr 16 12:30:39 2018	1523903439	0	54	54	54
Mon Apr 16 12:30:40 2018	1523903440	0	54	54	54
Mon Apr 16 12:30:37 2018	1523903437	0	54	54	54
Mon Apr 16 12:30:40 2018	1523903440	1	53	54	53
Mon Apr 16 12:30:40 2018	1523903440	0	54	54	54
Mon Apr 16 12:30:40 2018	1523903440	0	55	55	55
Mon Apr 16 12:30:39 2018	1523903439	1	54	55	54
Mon Apr 16 12:30:40 2018	1523903440	1	54	55	54
Mon Apr 16 12:30:39 2018	1523903439	0	55	55	55
Mon Apr 16 12:30:40 2018	1523903440	1	55	56	55
Mon Apr 16 12:30:37 2018	1523903437	0	56	56	56
Mon Apr 16 12:30:40 2018	1523903440	0	56	56	56
Mon Apr 16 12:30:38 2018	1523903438	1	55	56	55
Mon Apr 16 12:30:38 2018	1523903438	0	57	57	57
Mon Apr 16 12:30:37 2018	1523903437	0	57	57	57
Mon Apr 16 12:30:38 2018	1523903438	0	57	57	57
Mon Apr 16 12:30:38 2018	1523903438	0	57	57	57
Mon Apr 16 12:30:39 2018	1523903439	0	58	58	58
Mon Apr 16 12:30:39 2018	1523903439	0	58	58	58
Mon Apr 16 12:30:37 2018	1523903437	0	58	58	58
Mon Apr 16 12:30:37 2018	1523903437	0	58	58	58
Mon Apr 16 12:30:36 2018	1523903436	0	58	58	58
Mon Apr 16 12:30:39 2018	1523903439	0	58	58	58
Mon Apr 16 12:30:39 2018	1523903439	1	58	59	58
Mon Apr 16 12:30:37 2018	1523903437	0	59	59	59
Mon Apr 16 12:30:38 2018	1523903438	0	59	59	59
Mon Apr 16 12:30:38 2018	1523903438	0	59	59	59
Mon Apr 16 12:30:37 2018	1523903437	0	59	59	59
Mon Apr 16 12:30:38 2018	1523903438	0	59	59	59
Mon Apr 16 12:30:40 2018	1523903440	0	59	59	59
Mon Apr 16 12:30:37 2018	1523903437	0	60	60	60
Mon Apr 16 12:30:40 2018	1523903440	1	59	60	59
Mon Apr 16 12:30:37 2018	1523903437	1	59	60	57
Mon Apr 16 12:30:40 2018	1523903440	0	60	60	60
Mon Apr 16 12:30:39 2018	1523903439	0	60	60	60
Mon Apr 16 12:30:39 2018	1523903439	0	60	60	60
Mon Apr 16 12:30:39 2018	1523903439	0	60	60	60
Mon Apr 16 12:30:37 2018	1523903437	0	60	60	60
Mon Apr 16 12:30:38 2018	1523903438	1	60	61	60
Mon Apr 16 12:30:38 2018	1523903438	0	61	61	61
Mon Apr 16 12:30:36 2018	1523903436	0	62	62	62
Mon Apr 16 12:30:38 2018	1523903438	0	62	62	62
Mon Apr 16 12:30:38 2018	1523903438	0	62	62	62
Mon Apr 16 12:30:38 2018	1523903438	0	62	62	62
Mon Apr 16 12:30:37 2018	1523903437	0	63	63	63
Mon Apr 16 12:30:39 2018	1523903439	0	63	63	63
Mon Apr 16 12:30:38 2018	1523903438	1	63	64	63
Mon Apr 16 12:30:37 2018	1523903437	0	64	64	64
Mon Apr 16 12:30:39 2018	1523903439	0	64	64	64
Mon Apr 16 12:30:38 2018	1523903438	0	65	65	64
Mon Apr 16 12:30:39 2018	1523903439	0	65	65	65
Mon Apr 16 12:30:39 2018	1523903439	0	65	65	65
Mon Apr 16 12:30:39 2018	1523903439	0	65	65	65
Mon Apr 16 12:30:40 2018	1523903440	0	66	66	66
Mon Apr 16 12:30:38 2018	1523903438	1	65	66	65
Mon Apr 16 12:30:39 2018	1523903439	0	67	67	67
Mon Apr 16 12:30:40 2018	1523903440	0	67	67	67
Mon Apr 16 12:30:36 2018	1523903436	0	67	67	66
Mon Apr 16 12:30:37 2018	1523903437	1	67	68	67
Mon Apr 16 12:30:37 2018	1523903437	1	67	68	67
Mon Apr 16 12:30:37 2018	1523903437	0	68	68	68
Mon Apr 16 12:30:37 2018	1523903437	0	68	68	68
Mon Apr 16 12:30:39 2018	1523903439	0	68	68	68
Mon Apr 16 12:30:40 2018	1523903440	1	67	68	67
Mon Apr 16 12:30:40 2018	1523903440	0	70	70	70
Mon Apr 16 12:30:37 2018	1523903437	1	69	70	69
Mon Apr 16 12:30:39 2018	1523903439	0	70	70	70
Mon Apr 16 12:30:40 2018	1523903440	1	69	70	68
Mon Apr 16 12:30:37 2018	1523903437	0	70	70	70
Mon Apr 16 12:30:39 2018	1523903439	0	71	71	71
Mon Apr 16 12:30:39 2018	1523903439	0	71	71	71
Mon Apr 16 12:30:37 2018	1523903437	1	70	71	70
Mon Apr 16 12:30:39 2018	1523903439	0	71	71	71
Mon Apr 16 12:30:39 2018	1523903439	0	71	71	71
Mon Apr 16 12:30:37 2018	1523903437	0	72	72	71
Mon Apr 16 12:30:39 2018	1523903439	0	72	72	72
Mon Apr 16 12:30:40 2018	1523903440	0	74	74	74
Mon Apr 16 12:30:39 2018	1523903439	0	74	74	74
Mon Apr 16 12:30:39 2018	1523903439	1	73	74	73
